bin,samples,predicted_probability,observed_rate,calibration_error
"(-0.001, 0.1]",23080,0.025018582,0.048180242634315425,0.023161660513777667
"(0.1, 0.2]",11948,0.152663,0.1348342818881821,0.017828725490396075
"(0.2, 0.3]",13136,0.25270665,0.22746650426309378,0.025240142656156705
"(0.3, 0.4]",20823,0.35005745,0.3020218028141958,0.04803565010290317
"(0.4, 0.5]",24311,0.45293665,0.40997902184196455,0.04295762748054521
"(0.5, 0.6]",33304,0.5505692,0.547621907278405,0.0029472693954841755
"(0.6, 0.7]",29687,0.6387985,0.6593795263920235,0.020581051126520533
"(0.7, 0.8]",18688,0.751482,0.751605308219178,0.00012329833148272407
"(0.8, 0.9]",15886,0.84555954,0.8246254563766838,0.020934081034052254
"(0.9, 1.0]",32295,0.97598726,0.9705836816844713,0.005403573888801416
