bin,samples,predicted_probability,observed_rate,calibration_error
"(-0.001, 0.1]",1282,0.024615461,0.031201248049921998,0.006585787043161401
"(0.1, 0.2]",513,0.14825845,0.2807017543859649,0.13244330673887017
"(0.2, 0.3]",548,0.24799542,0.3813868613138686,0.13339144002347098
"(0.3, 0.4]",1264,0.36030838,0.5181962025316456,0.15788782359678533
"(0.4, 0.5]",1558,0.45372903,0.4980744544287548,0.044345420958601
"(0.5, 0.6]",3368,0.55772495,0.6152019002375297,0.057476947539775836
"(0.6, 0.7]",3897,0.6441474,0.5853220425968694,0.05882535349077711
"(0.7, 0.8]",1294,0.7388804,0.7279752704791345,0.010905125410147765
"(0.8, 0.9]",635,0.8529293,0.9181102362204724,0.0651809421111279
"(0.9, 1.0]",1456,0.9701033,0.9168956043956044,0.053207719064020886
